week_starting_date,sales,bing_brand_search_clicks,bing_brand_search_spend,blackfriday_dummy,covid_trend,google_brand_search_clicks,google_brand_search_imp,google_brand_search_spend,google_display_clicks,google_display_imp,google_display_spend,google_nonbrand_search_clicks,google_nonbrand_search_imp,google_nonbrand_search_spend,google_video_clicks,google_video_imp,google_video_spend,gwp_units_distributed,launch_fragrance_trend,launch_makeup_trend,launch_skincare_trend,market_sales,mothersday_dummy,nongoogle_display_spend,nongoogle_video_spend,pinterest_awareness_imp,pinterest_awareness_spend,pinterest_conversion_imp,pinterest_conversion_spend,print_coop_spend,print_pure_spend,samples_quantity_distributed,snap_awareness_imp,snap_awareness_spend,snap_conversion_imp,snap_conversion_spend,tiktok_awareness_imp,tiktok_awareness_spend,tv_coop_spend,tv_pure_imp,tv_pure_spend,vday_dummy,xmas_dummy,youtube_video_spend,fbig_spend,fbig_imp,youtube_video_imp,outdoor_impressions,outdoor_spend
2019-01-07,6096762.507,2900.876792,8535.21302,0,0.0,6445.107608,225599.0242,5970.834004,192.4504287,72160.54337,385.8137691,8048.567587,301929.6205,19863.90532,417.4897173,123341.3477,1587.068827,21235,0.0,0.657774623,0.0,244615570.5,0,0.0,0.0,0.0,0.0,0.0,0.0,291.8425987,68696.88,285111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6008.761614,0.0,0.0,532627.153,0.0,0.0
2019-01-14,6089210.232,2256.867035,7213.173676,0,0.0,5744.447122,207751.3388,5045.997395,77.50863949,34493.54652,193.1763037,7100.407923,270855.2619,17575.17649,503.8061567,150301.5829,1892.740036,0,0.038621946,0.463318306,0.0,252592629.6,0,0.0,0.0,0.0,0.0,0.0,0.0,291.8422916,128080.3829,489603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4042.481588,0.0,0.0,363528.0914,0.0,0.0
2019-01-21,6508506.821,834.1279837,7174.73454,0,0.0,5925.447411,211989.2117,5019.107181,188.9273088,84085.8641,459.4632421,4985.655157,198156.1215,12181.65413,413.0858173,135798.2191,1711.43568,0,0.221528923,0.379553823,0.0,255581660.5,0,0.0,0.0,0.0,0.0,0.0,0.0,291.8416759,138871.5783,302329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3810.115377,0.0,0.0,355039.5218,0.0,0.0
2019-01-28,7022937.059,1875.37152,7815.470738,0,0.0,6411.197578,261913.143,5467.33612,221.0757785,103102.3446,552.3805692,5072.411987,193075.7825,12393.20868,726.2031052,313427.3225,3413.520265,0,0.023616164,0.0,0.0,247669570.3,0,0.0,0.0,0.0,0.0,0.0,0.0,13837.33127,0.0,371304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7283.561874,0.0,0.0,596112.9866,0.0,0.0
2019-02-04,19633182.66,2128.442802,9028.506866,0,0.0,7195.532163,283329.3085,6315.919202,1185.529872,1881717.316,6625.467437,6423.088108,227563.1636,15256.21928,1536.96109,1156974.104,10973.40743,0,0.032639321,0.00132715,0.0,302047590.6,0,0.0,0.0,0.0,0.0,0.0,0.0,31897.98436,102556.3703,468574,0.0,0.0,0.0,0.0,0.0,0.0,191864.9895,0.0,0.0,0,0,25594.41092,0.0,0.0,2251435.041,0.0,0.0
2019-02-11,12143474.27,2207.134122,9331.115908,0,0.0,6759.986456,293126.2244,6527.61027,2989.80769,5153010.843,17620.74393,6428.813178,230271.5621,15424.66846,1894.117378,1818067.31,17235.52912,0,0.0,0.041399347,0.00070642,344583075.9,0,0.0,0.0,0.0,0.0,0.0,0.0,30455.0783,0.0,208336,0.0,0.0,0.0,0.0,0.0,0.0,191864.9895,0.0,0.0,1,0,28391.3909,0.0,0.0,2549329.028,0.0,0.0
2019-02-18,9691781.544,1704.76874,7430.160267,0,0.0,4640.82979,161760.0902,5197.791019,1134.885023,1994596.319,7583.594122,6520.854687,239695.4676,15136.64019,1014.218163,1171058.217,10726.01031,0,0.0,0.019437,0.042161779,295607498.4,0,0.0,0.0,0.0,0.0,0.0,0.0,12580.87052,172271.2084,829297,0.0,0.0,0.0,0.0,0.0,0.0,191864.9895,0.0,0.0,0,0,12064.52911,0.0,0.0,1120415.988,0.0,0.0
2019-02-25,7689159.563,1597.748545,6198.804799,0,0.0,3826.989075,93100.64734,4336.392588,1394.274731,2431316.546,8957.462273,5998.992541,229529.0645,13790.82157,881.6607742,652310.0676,6222.998877,0,0.25167989,0.0025707,0.054890715,291426045.5,0,0.0,0.0,0.0,0.0,0.0,0.0,13242.87603,0.0,712828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9795.513818,0.0,0.0,901653.6962,0.0,0.0
2019-03-04,10234521.56,1814.307056,7126.890218,0,0.0,4476.564321,171533.225,4985.637542,1411.449941,2262162.748,8559.812521,5557.281373,184579.7787,13539.39851,1532.55719,1031359.904,9866.597173,185897,2.562053252,0.0069388,0.107267787,331431098.6,0,0.0,0.0,0.0,0.0,0.0,0.0,31621.18674,0.0,673603,0.0,0.0,0.0,0.0,0.0,0.0,28401.06753,0.0,0.0,0,0,9919.139644,0.0,0.0,885470.6078,0.0,0.0
2019-03-11,9309029.17,1716.10029,9041.166726,0,0.0,5948.347691,275232.2981,6324.775445,1650.141319,2892995.436,11191.91435,5203.648206,171564.9331,12826.26178,1916.577267,1238496.018,12756.78669,100412,6.138200002,0.033388586,1.050438807,313024858.3,0,0.0,0.0,0.0,0.0,0.0,0.0,31806.19208,124936.1083,262005,0.0,0.0,0.0,0.0,0.0,0.0,28401.06753,0.0,0.0,0,0,13554.999,0.0,0.0,1072549.25,0.0,0.0
2019-03-18,12102722.8,1461.140415,9687.55687,0,0.0,6383.012618,302482.7503,6776.959619,2128.404856,3771744.352,14381.07662,4656.683829,160591.2952,11685.26855,1142.812042,950705.5583,9198.074751,3528,13.43613285,0.0099693,1.584969474,378219177.7,0,0.0,0.0,0.0,0.0,365287.8872,1466.832028,1587.112636,0.0,449101,0.0,0.0,0.0,0.0,0.0,0.0,28401.06753,0.0,0.0,0,0,19186.10314,0.0,0.0,1485778.809,0.0,0.0
